Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1574431776.0908844,7492,1574431776,90584993,,-7.2,0.0,0.0
1574431776.1395397,7493,1574431776,138817071,,-7.2,0.0,0.0
1574431776.1878164,7494,1574431776,186798095,,-7.2,0.0,0.0
1574431776.2356122,7495,1574431776,234901905,,-7.2,0.0,0.0
1574431776.283253,7496,1574431776,282583951,,-7.2,0.0,0.0
1574431776.3325317,7497,1574431776,330921888,,-7.2,0.0,0.0
1574431776.3953269,7498,1574431776,394685029,,-7.2,0.0,0.0
1574431776.444365,7499,1574431776,443224906,,-7.2,0.0,0.0
1574431776.4919887,7500,1574431776,490977048,,-7.2,0.0,0.0
1574431776.5396168,7501,1574431776,539060115,,-7.2,0.0,0.0
1574431776.587786,7502,1574431776,586823940,,-7.2,0.0,0.0
1574431776.6368558,7503,1574431776,635389089,,-7.2,0.0,0.0
1574431776.6842244,7504,1574431776,683015108,,-7.2,0.0,0.0
1574431776.748301,7505,1574431776,746928930,,-7.2,0.0,0.0
1574431776.7963083,7506,1574431776,795111894,,-7.2,0.0,0.0
1574431776.8437262,7507,1574431776,842962026,,-7.2,0.0,0.0
1574431776.8918319,7508,1574431776,891087055,,-7.2,0.0,0.0
1574431776.9400775,7509,1574431776,939302921,,-7.2,0.0,0.0
1574431776.988257,7510,1574431776,987868070,,-7.2,0.0,0.0
1574431777.0358932,7511,1574431777,35192012,,-7.2,0.0,0.0
1574431777.0838513,7512,1574431777,83051919,,-7.2,0.0,0.0
1574431777.1485555,7513,1574431777,147340059,,-7.2,0.0,0.0
1574431777.196176,7514,1574431777,195247888,,-7.2,0.0,0.0
1574431777.2437043,7515,1574431777,243238925,,-7.2,0.0,0.0
1574431777.2917254,7516,1574431777,291141033,,-7.2,0.0,0.0
1574431777.3403926,7517,1574431777,339273929,,-7.2,0.0,0.0
1574431777.3885453,7518,1574431777,387254953,,-7.2,0.0,0.0
1574431777.4358575,7519,1574431777,435342073,,-7.2,0.0,0.0
1574431777.4995103,7520,1574431777,499155044,,-7.2,0.0,0.0
1574431777.5482316,7521,1574431777,547380924,,-7.2,0.0,0.0
1574431777.5959463,7522,1574431777,595386028,,-7.2,0.0,0.0
1574431777.644111,7523,1574431777,643404006,,-7.2,0.0,0.0
1574431777.6919029,7524,1574431777,691270112,,-7.2,0.0,0.0
1574431777.7401938,7525,1574431777,739398956,,-7.2,0.0,0.0
1574431777.788044,7526,1574431777,787540912,,-7.2,0.0,0.0
1574431777.851791,7527,1574431777,851274013,,-7.2,0.0,0.0
1574431777.900694,7528,1574431777,899688959,,-7.2,0.0,0.0
1574431777.9485285,7529,1574431777,947586059,,-7.2,0.0,0.0
1574431777.996341,7530,1574431777,995671987,,-7.2,0.0,0.0
1574431778.0441475,7531,1574431778,43473005,,-7.2,0.0,0.0
1574431778.0921512,7532,1574431778,91655969,,-7.2,0.0,0.0
1574431778.1419687,7533,1574431778,139841079,,-7.2,0.0,0.0
1574431778.1898274,7534,1574431778,189009904,,-7.2,0.0,0.0
1574431778.2530558,7535,1574431778,251924991,,-7.2,0.0,0.0
1574431778.3001952,7536,1574431778,299627065,,-7.2,0.0,0.0
1574431778.3497872,7537,1574431778,347920894,,-7.2,0.0,0.0
1574431778.396217,7538,1574431778,395658016,,-7.2,0.0,0.0
1574431778.4441059,7539,1574431778,443661928,,-7.2,0.0,0.0
